post_num,track_name,artist,broll_idea,themes,min_videos
20,Vertigo Carlita Remix,ANOTR,nightclub neon lights laser beams,nightlife light lasers,6
24,Got The Fire,Michael Bibi,nightclub lights smoke atmosphere,nightlife light smoke,6
26,Desire,Chris Stussy,nightclub purple lights mood,nightlife light purple,6
30,Saving Up,Dom Dolla,nightclub ambient lights glow,nightlife light ambient,6
33,Rapture,Dennis Cruz,nightclub lights euphoric beams,nightlife light euphoria,6
35,Body Language,Gorgon City,nightclub lights sensual atmosphere,nightlife light sensual,6
39,Ain't Nobody,Felix Da Housecat,nightclub lights spinning energy,nightlife light energy,6
46,I Want Your Soul,Armand Van Helden,nightclub lights hypnotic patterns,nightlife light hypnotic,6
49,Jetsetter,Eats Everything,nightclub lights travel vibes,nightlife light travel,6
52,Everything Is Burning,Hot Since 82,nightclub lights fire atmosphere,nightlife light fire,6
53,Poison,Hot Since 82,nightclub lights toxic purple,nightlife light purple,6
62,Let Me Be,Weiss,nightclub lights peaceful moment,nightlife light peaceful,6
66,Rain Falls,Frankie Knuckles,nightclub lights rain atmosphere,nightlife light rain,6
