Date,Content,Video title,Video publish time,Duration,Views
2026-01-24,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-01-25,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-01-26,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-01-27,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-01-28,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-01-29,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-01-30,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-01-31,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-01,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-02,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-03,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-04,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-05,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-06,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-07,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-08,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-09,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-10,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-11,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-12,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-13,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-14,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-15,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-16,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-17,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,0
2026-02-18,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,709746
2026-02-19,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,2226018
2026-02-20,4_dX2lfNYZ8,“AZAR” de Virginia após desfile no Rio 👀,"Feb 18, 2026",10,1177502
2026-01-24,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-01-25,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-01-26,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-01-27,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-01-28,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-01-29,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-01-30,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-01-31,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-01,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-02,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-03,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-04,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-05,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-06,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-07,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-08,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-09,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-10,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-11,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-12,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-13,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-14,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-15,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-16,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,0
2026-02-17,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,139888
2026-02-18,R-Rj9Vv4fCo,A #juliette foi curtir o desfile da #beijaflor no camarote!,"Feb 17, 2026",5,52569
